	blog	title	url	date
3389	opencitations	The French National Fund for Open Science renews its support to OpenCitations	https://opencitations.hypotheses.org/3389	Wed, 03 May 2023 13:07:57 +0000
3359	opencitations	Workshop on Open Citations and Open Scholarly Metadata 2023: apply now to participate!	https://opencitations.hypotheses.org/3359	Thu, 30 Mar 2023 10:54:02 +0000
3320	opencitations	OpenCitations’ 2022: one year, numerous outcomes	https://opencitations.hypotheses.org/3320	Sat, 28 Jan 2023 15:56:56 +0000
3299	opencitations	OpenCitations is hiring: one-year Research Fellow position now open	https://opencitations.hypotheses.org/3299	Wed, 11 Jan 2023 16:18:03 +0000
3246	opencitations	Discover POCI, the index of open citations from PubMed 	https://opencitations.hypotheses.org/3246	Tue, 27 Dec 2022 15:56:15 +0000
3140	opencitations	A technical overview of OpenCitations Meta	https://opencitations.hypotheses.org/3140	Tue, 20 Dec 2022 17:10:38 +0000
3106	opencitations	Discover DOCI, the index of open citations from DataCite	https://opencitations.hypotheses.org/3106	Tue, 13 Dec 2022 17:51:05 +0000
3069	opencitations	Please help with OpenCitations’ entry in Wikipedia	https://opencitations.hypotheses.org/3069	Sat, 12 Nov 2022 09:43:12 +0000
3057	opencitations	Follow OpenCitations on Mastodon	https://opencitations.hypotheses.org/3057	Mon, 31 Oct 2022 16:33:46 +0000
2940	opencitations	Tutorial: how to process COCI’s zipped CSV dump without decompressing it	https://opencitations.hypotheses.org/2940	Fri, 30 Sep 2022 15:23:34 +0000
