;author;year;avgsentlen
ENG18531;Yonge;1853;22.967280328000644
ENG18980;BaringGould;1898;17.972026828071325
ENG19181;West;1918;22.428849902534115
ENG18872;Lyall;1887;22.688275862068966
ENG19091;Ward;1909;17.64012251148545
ENG18500;Ainsworth;1850;17.170915032679737
ENG19190;Benson;1919;19.492087415222304
ENG18652;Carroll;1865;22.199447895100068
ENG18860;Hardy;1886;21.103688029020557
ENG19070;Machen;1907;31.892144373673037
ENG19150;Buchan;1915;18.29686896018554
ENG18660;Eliot;1866;26.523391089108912
ENG18742;Trollope;1874;19.46992329430763
ENG18470;Aguilar;1847;36.68667030369158
ENG19180;Lewis;1918;14.320714539216846
ENG18400;Trollope;1840;29.057580434524517
ENG18831;Ouida;1883;26.779245736247898
ENG18880;Ward;1888;21.595708317508546
ENG18941;Caird;1894;18.366953629426728
ENG18900;Doyle;1890;17.607556160653505
ENG18510;Kingsley;1851;25.441244239631338
ENG18702;Jenkins;1870;20.554701360141927
ENG18721;Eliot;1872;25.015373254564985
ENG19071;Silberrad;1907;26.294186729301234
ENG18670;Ouida;1867;27.476423529411765
ENG18632;Reade;1863;20.702011086760347
ENG18920;Grossmith;1892;19.60726710475454
ENG18840;Lee;1884;24.94142545057346
ENG19010;Mason;1901;17.149607560467725
ENG18720;Lynn;1872;28.404187817258883
ENG19120;Wells;1912;19.139041464728056
ENG18940;Dixon;1894;22.967313585291112
ENG18953;Macdonald;1895;18.091778202676863
ENG18530;Dickens;1853;21.237863841780456
ENG18951;Ward;1895;18.00722891566265
ENG18820;Anstey;1882;22.342069762960108
ENG19005;Steel;1900;20.051856049872484
ENG19060;Nesbit;1906;16.378409307648294
ENG18760;Collins;1876;17.744735054347824
ENG18450;Disraeli;1845;22.543068480076354
ENG18952;Wells;1895;19.625259875259875
ENG19100;Forster;1910;14.89279172502963
ENG18460;Reynolds;1846;23.47783115991764
ENG19020;Nesbit;1902;17.482333010648595
ENG18481;Dickens;1848;24.441093414661697
ENG18552;Kavanagh;1855;21.59772969137992
ENG18830;Broughton;1883;18.902564102564103
ENG18621;Braddon;1862;24.23970648185895
ENG18870;Barry;1887;21.556354515050167
ENG18570;Bronte;1857;29.996588001137333
ENG19111;Hornung;1911;21.149063670411984
ENG18651;Yonge;1865;24.93833104080697
ENG18930;Benson;1893;16.75229658792651
ENG19090;Wells;1909;17.851113585746102
ENG18972;Morris;1897;39.11869158878505
ENG18640;Blackmore;1864;22.72869194220886
ENG19004;Fowler;1900;25.622140522875817
ENG18661;Oliphant;1866;32.1622485680032
ENG18650;Trollope;1865;19.997165354330708
ENG19201;Arlen;1920;38.73657548125633
ENG18482;Gaskell;1848;22.64836056076932
ENG19080;Chesterton;1908;19.294549562270547
ENG18410;Sinclair;1841;31.573097748646337
ENG19200;Lawrence;1920;14.159109336992453
ENG18973;Cholmondeley;1897;20.24900924702774
ENG19001;Glyn;1900;27.233861144945188
ENG18630;Craik;1863;24.732136245834877
ENG18471;Bronte;1847;22.264032946918853
ENG18610;Eliot;1861;32.26882530120482
ENG19011;Jerome;1901;21.737963693764797
ENG19170;Conrad;1917;15.017707662588538
ENG18961;Griffiths;1896;14.648737290915054
ENG18954;Sharp;1895;24.659230340211934
ENG18490;Skene;1849;37.79173693086003
ENG18741;Bulwer;1874;23.55684764673529
ENG19192;Woolf;1919;21.927042909413462
ENG18890;Nesbit;1889;21.64281658148779
ENG18440;Disraeli;1844;23.238606567611438
ENG18911;Gissing;1891;16.80798097644349
ENG18931;Harraden;1893;15.739264857437307
ENG18740;Ouida;1874;24.21060492905153
ENG18480;Thackeray;1848;26.716304512991947
ENG19191;Hamilton;1919;33.588403041825096
ENG18641;Stretton;1864;27.656096227446692
ENG18560;Yonge;1856;21.90447371543847
ENG18970;Phillpots;1897;22.139949859902668
ENG18871;Broughton;1887;22.56661824904265
ENG18800;Disraeli;1880;22.89119873460626
ENG18700;Oliphant;1870;28.895194986072422
ENG18770;Mallock;1877;31.073644732355948
ENG19121;Belloc;1912;18.718307365439095
ENG18901;Broughton;1890;24.54647042790951
ENG18411;Tupper;1841;35.619285120532005
ENG18960;Malet;1896;19.567268041237114
ENG18551;Trollope;1855;31.544613106256943
ENG18600;Clive;1860;22.6195264352903
ENG18950;Cross;1895;21.868971061093248
ENG18850;Rutherford;1885;26.599386503067485
ENG18540;Dickens;1854;23.6736231884058
ENG18910;Yeats;1891;17.616429894996912
